id,tm_molpc2
1HKX, 0.79
1Z6O,0.3137
6UIW,0.8977
5K2M,0.4934
1G63,0.7037
3ZIA,0.8432
2P1B,0.4849
3KIF,0.3568
1NGK,0.3847
2A3W,0.4899
5BSE,0.9964
1DW9,0.8314
3ZK1,0.9568
1IRU,0.2050
7AJP,0.2754
1G0U,0.1878
5LK5,0.2329
1H2I,0.7608
6J0B,0.2436
6GRJ,0.2523
3ZQM,0.8521
7JQZ,0.9926
5T11,0.9537
6LNI,0.2060
6QLV,0.6887
3N99,0.7358
1Q95,0.4687
2BX9,0.3555
6FWH,0.9138
1IWA,0.9350
1S3Q,0.5789
2WYR,0.7614
1F1H,0.9858
6NHT,0.2015
1IS7,0.5921
6ESQ,0.5961
6WBN,0.4177
6KRB,0.1821
6MST,0.1872
1IJG,0.9898
2E6G,0.3295
1L6W,0.9731
6S5L,0.3565
1AVO,0.9542
4K2J,0.7420
4IC1,0.8062
6X04,0.3153
5J09,0.2598
1D0I,0.5985
2GRE,0.9916
3TXQ,0.8651
2V7Q,0.8648
2OBX,0.4876
3BJQ,0.4061
1MFR,0.9811
2VYR,0.2997
1PCQ,0.3248
2D3A,0.4925
2DJW,0.6694
3HHW,0.9395
2V18,0.5129
1BCF,0.8420
6SSI,0.7366
6RKE,0.4867
5B04,0.6840
5N5E,0.9248
5JQL,0.2402
2VYC,0.9580
2NV2,0.6142
2QJG,0.9835
5AA5,0.3579
6RO0,0.3314
5NFR,0.2490
1TR0,0.5555
7NRQ,0.1277
5TRM,0.1550
3TOS,0.9918
6RDB,0.1681
1X0R,0.9393
6OVH,0.2804
4JPN,0.3431
5UK3,0.9420
6QSU,0.2497
2FKD,0.6829
1A8R,0.9891
6Z1F,0.3079
2X2V,0.8995
2EWC,0.4202
6G94,0.4364
3MQ7,0.3223
3LAY,0.3710
6OFG,0.3654
4EJ0,0.4886
3FP9,0.4757
3ONR,0.3960
2YMD,0.4911
1VDM,0.2554
7JKC,0.2814
1RBL,0.5571
6Z16,0.2300
5JYX,0.2290
1JYM,0.2930
7JZ2,0.3521
6KWY,0.1558
3A2C,0.1160
3DTD,0.2998
1NLX,0.1641
3VG8,0.3206
1TH7,0.3824
1Q5Q,0.4799
2WCV,0.9883
1YKK,0.7730
6PYT,0.1645
3BFJ,0.9865
6ZEE,0.3086
3OJ5,0.7724
1X9F,0.4230
1GH0,0.5429
1RVV,0.6337
4RAP,0.9629
1DPS,0.9955
6W6M,0.4435
2G9T,0.3420
6E7D,0.2556
3OOQ,0.9903
1N8J,0.8696
5XPB,0.9470
6UWR,0.2773
6JCV,0.9507
3R90,0.1465
3ZNU,0.8329
2V5H,0.5441
1X0P,0.9062
2BL2,0.9299
1M3U,0.9927
6N3P,0.8544
3M0W,0.2894
4BHU,0.4341
5F2Q,0.3211
2C41,0.2118
3JVO,0.8384
6SQR,0.4934
6OSJ,0.3263
1KP8,0.4515
3M1A,0.3153
4RSU,0.6123
6LQH,0.9547
3U6X,0.6628
1TYF,0.8373
1M5Q,0.4349
6SDZ,0.0982
1BHC,0.4559
4RDQ,0.4624
1QAW,0.9518
6YBQ,0.9668
5OVS,0.9751
4F4S,0.9857
2DD4,0.5369
5CW7,0.3387
3K6C,0.9732
6MRT,0.2876
6M3X,0.6065
7JJP,0.3292
5ODC,0.7383
1VF7,0.3171
