1Z6O, 0.3538
6UIW, 0.6335
1G63, 0.8297
2P1B, 0.5456
3KIF, 0.4761
1NGK, 0.3905
2A3W, 0.8988
5BSE, 0.4268
1DW9, 0.4894
3ZK1, 0.5853
7AJP, 0.8548
5LK5, 0.3872
1H2I, 0.5202
6GRJ, 0.4309
3ZQM, 0.3850
7JQZ, 0.4728
6QLV, 0.5895
3N99, 0.4275
1Q95, 0.2756
2BX9, 0.7673
6FWH, 0.8722
1IWA, 0.4635
2WYR, 0.4522
1F1H, 0.5850
1IS7, 0.5278
1KB9, 0.1270
6ESQ, 0.2391
6WBN, 0.7798
6KRB, 0.4409
6MST, 0.2596
1IJG, 0.3835
2E6G, 0.7390
1L6W, 0.4228
1AVO, 0.3593
4K2J, 0.2092
4IC1, 0.5584
6X04, 0.3001
5J09, 0.2204
1D0I, 0.9335
2GRE, 0.5417
3TXQ, 0.3945
2OBX, 0.8755
3BJQ, 0.4568
2VYR, 0.2375
2DJW, 0.4032
3HHW, 0.3163
2V18, 0.8527
1BCF, 0.9542
5B04, 0.1549
5N5E, 0.7293
5JQL, 0.1572
2VYC, 0.3312
2NV2, 0.3004
2QJG, 0.8699
5AA5, 0.2314
5NFR, 0.4564
1TR0, 0.2773
3TOS, 0.4499
1X0R, 0.5973
6OVH, 0.4378
4JPN, 0.3853
7C4J, 0.0443
2FKD, 0.5758
1I50, 0.1999
1A8R, 0.2399
6Z1F, 0.3091
2X2V, 0.4716
2EWC, 0.8730
6G94, 0.3647
3MQ7, 0.4530
3LAY, 0.2135
1HKX, 0.3733
6OFG, 0.5621
4EJ0, 0.4553
3FP9, 0.7751
3ONR, 0.7552
2YMD, 0.9034
1KYO, 0.2217
1VDM, 0.5458
1RBL, 0.7820
5JYX, 0.3069
1JYM, 0.2392
6RD7, 0.1475
7JZ2, 0.3185
3A2C, 0.2355
3DTD, 0.4313
1NLX, 0.3880
6ZK9, 0.2443
3VG8, 0.6752
1TH7, 0.8040
1Q5Q, 0.1813
2WCV, 0.2712
1YKK, 0.1562
3BFJ, 0.3276
6ZEE, 0.1629
1X9F, 0.3658
1GH0, 0.2724
1RVV, 0.9533
4RAP, 0.8961
1DPS, 0.4304
6W6M, 0.3098
2G9T, 0.2472
6E7D, 0.2694
3OOQ, 0.4876
1N8J, 0.4698
6UWR, 0.4617
6JCV, 0.9536
3R90, 0.3504
3ZNU, 0.7531
2V5H, 0.3719
1X0P, 0.7866
2BL2, 0.2378
1M3U, 0.8189
6N3P, 0.5911
3M0W, 0.2017
4BHU, 0.4046
5F2Q, 0.4364
2C41, 0.6656
3JVO, 0.4401
6OSJ, 0.1020
1KP8, 0.6347
3M1A, 0.5574
4RSU, 0.6523
6LQH, 0.2253
3U6X, 0.3609
1TYF, 0.4726
1M5Q, 0.6747
1BHC, 0.4154
4RDQ, 0.4659
1QAW, 0.6116
6YBQ, 0.2719
4F4S, 0.3434
5CW7, 0.1846
3K6C, 0.5797
1L0L, 0.2409
6MRT, 0.3899
6M3X, 0.6675
5ODC, 0.3778
1VF7, 0.2730
