1Z6O, 0.2138
6UIW, 0.8441
5K2M, 0.4931
1G63, 0.2518
2P1B, 0.4927
1NGK, 0.1290
2A3W, 0.2467
5BSE, 0.9951
1DW9, 0.4906
3ZK1, 0.4864
7AJP, 0.2508
5LK5, 0.1596
1H2I, 0.2938
3ZQM, 0.8201
7JQZ, 0.9655
5T11, 0.9515
6QLV, 0.8159
3N99, 0.1622
2BX9, 0.2441
2WYR, 0.8945
1F1H, 0.4890
1IS7, 0.2124
6KRB, 0.1482
6MST, 0.0871
1IJG, 0.7624
2E6G, 0.3298
1AVO, 0.5493
4K2J, 0.5505
4IC1, 0.6432
6X04, 0.2621
5J09, 0.2971
1D0I, 0.9623
2GRE, 0.7449
2OBX, 0.4936
2D3A, 0.4925
2DJW, 0.6344
3HHW, 0.8444
2V18, 0.2481
1BCF, 0.1600
6SSI, 0.7607
6RKE, 0.4854
5N5E, 0.3195
2NV2, 0.2394
2QJG, 0.4932
5NFR, 0.2490
5TRM, 0.0832
1X0R, 0.9390
6OVH, 0.1741
4JPN, 0.3078
5UK3, 0.9077
2FKD, 0.4695
1A8R, 0.3351
2X2V, 0.8995
2EWC, 0.2498
3MQ7, 0.1693
3LAY, 0.2382
1HKX, 0.9442
6OFG, 0.2660
4EJ0, 0.4920
3ONR, 0.2363
2YMD, 0.4928
1VDM, 0.2140
5JYX, 0.3122
3A2C, 0.1792
1NLX, 0.0906
3VG8, 0.1480
1TH7, 0.3712
2WCV, 0.3495
1YKK, 0.6219
3BFJ, 0.4966
1GH0, 0.2091
1RVV, 0.1664
4RAP, 0.9236
1DPS, 0.9971
2G9T, 0.0859
6E7D, 0.2137
3OOQ, 0.9951
1N8J, 0.4569
5XPB, 0.8365
6JCV, 0.8952
3ZNU, 0.9009
2V5H, 0.3184
1X0P, 0.7464
2BL2, 0.9299
1M3U, 0.9931
6N3P, 0.8858
3M0W, 0.1325
4BHU, 0.4016
5F2Q, 0.1263
2C41, 0.1643
3JVO, 0.7790
6OSJ, 0.1398
1KP8, 0.4831
3M1A, 0.2067
4RSU, 0.5451
3U6X, 0.1451
1TYF, 0.4941
1M5Q, 0.2984
1BHC, 0.1713
1QAW, 0.9539
5OVS, 0.9337
4F4S, 0.4922
2DD4, 0.4741
5CW7, 0.3910
3K6C, 0.9719
6M3X, 0.1147
1VF7, 0.3911
