1Z6O, 0.9181
6UIW, 0.6568
5K2M, 0.9196
1G63, 0.9060
3ZIA, 0.4096
2P1B, 0.7999
3KIF, 0.6062
1NGK, 0.4480
2A3W, 0.9947
5BSE, 0.9167
1DW9, 0.9320
3ZK1, 0.9194
1IRU, 0.6132
7AJP, 0.8816
1G0U, 0.5293
5LK5, 0.4677
1H2I, 0.4524
6GRJ, 0.4234
3ZQM, 0.5647
7JQZ, 0.4869
5T11, 0.8245
6QLV, 0.5903
3N99, 0.8577
1Q95, 0.6089
2BX9, 0.8314
6FWH, 0.9826
1IWA, 0.9023
2WYR, 0.9325
1F1H, 0.9053
1IS7, 0.4640
1KB9, 0.4808
6ESQ, 0.9073
6WBN, 0.8242
6KRB, 0.4448
6MST, 0.2567
7CGE, 0.6373
1IJG, 0.6503
2E6G, 0.6987
1L6W, 0.5108
6S5L, 0.2340
1AVO, 0.9224
4K2J, 0.1932
4IC1, 0.8891
6X04, 0.2157
5J09, 0.2105
1D0I, 0.9635
2GRE, 0.8409
3TXQ, 0.9610
2V7Q, 0.5907
2OBX, 0.9193
3BJQ, 0.5499
2VYR, 0.1952
1PCQ, 0.3681
2D3A, 0.9466
2DJW, 0.7857
3HHW, 0.2814
2V18, 0.9766
1BCF, 0.9394
6SSI, 0.8619
6RKE, 0.6601
5B04, 0.5372
5N5E, 0.8760
5JQL, 0.1817
2VYC, 0.3278
2NV2, 0.6525
2QJG, 0.9445
5AA5, 0.3071
6RO0, 0.2705
5NFR, 0.4081
1TR0, 0.2463
7NRQ, 0.0399
5TRM, 0.2101
3TOS, 0.7397
6RDB, 0.2837
1X0R, 0.8895
6OVH, 0.4335
4JPN, 0.5153
7C4J, 0.0859
5UK3, 0.4035
6QSU, 0.9857
2FKD, 0.6978
1I50, 0.3052
1A8R, 0.4968
6Z1F, 0.7314
2X2V, 0.9536
2EWC, 0.9056
6G94, 0.4084
3MQ7, 0.4474
3LAY, 0.1977
1HKX, 0.7188
6OFG, 0.5177
4EJ0, 0.4437
3FP9, 0.8611
3ONR, 0.9245
2YMD, 0.9711
1KYO, 0.4129
6ZKB, 0.2154
1VDM, 0.6894
7JKC, 0.2161
1RBL, 0.9626
6Z16, 0.3925
5JYX, 0.5255
1JYM, 0.2720
6RD7, 0.1644
7JZ2, 0.3428
6KWY, 0.3739
3A2C, 0.2055
3DTD, 0.4648
1NLX, 0.4233
6ZK9, 0.3165
3VG8, 0.7323
1TH7, 0.7065
1Q5Q, 0.6464
2WCV, 0.3056
1YKK, 0.2389
3BFJ, 0.2618
6ZEE, 0.2849
1X9F, 0.4094
1GH0, 0.4278
1RVV, 0.9809
4RAP, 0.9107
1DPS, 0.8664
6W6M, 0.5111
2G9T, 0.3088
6E7D, 0.3421
3OOQ, 0.5047
1N8J, 0.8514
5XPB, 0.6939
6UWR, 0.7396
6JCV, 0.9608
3R90, 0.3234
3ZNU, 0.8775
2V5H, 0.4163
1X0P, 0.9452
4C2M, 0.3421
2BL2, 0.9339
1M3U, 0.8850
6N3P, 0.6829
3M0W, 0.2563
4BHU, 0.4450
5F2Q, 0.3990
2C41, 0.7789
3JVO, 0.7474
6SQR, 0.4221
6OSJ, 0.0926
1KP8, 0.5712
3M1A, 0.5291
4RSU, 0.7687
6LQH, 0.1766
3U6X, 0.2967
1TYF, 0.8901
1M5Q, 0.6571
6SDZ, 0.1438
1BHC, 0.4181
4RDQ, 0.3439
1QAW, 0.8916
6YBQ, 0.2785
5OVS, 0.9169
4F4S, 0.4823
2DD4, 0.4757
5CW7, 0.3290
3K6C, 0.8339
1L0L, 0.3108
6MRT, 0.3603
6M3X, 0.6427
7JJP, 0.2189
5ODC, 0.7895
1VF7, 0.2545
